Line,Conference,Team,Year,NCAA,Sagarin Rank,Sagarin Rating,RPI,Games,FGM,FGA,3FGM,3FGA,FTM,FTA,OREB,DREB,PF,Assists,TO,Blocks,Steals,Points,O-FGM,O-FGA,O-3FGM,O-3FGA,O-FTM,O-FTA,O-OREB,O-DREB,O-PF,O-Assists,O-TO,O-Blocks,O-Steals,O-Points,FGMPerGame,FGAPerGame,3FGMPerGame,3FGAPerGame,FTMPerGame,FTAPerGame,OREBPerGame,DREBPerGame,PFPerGame,AssistsPerGame,TOPerGame,BlocksPerGame,StealsPerGame,PointsPerGame,O-FGMPerGame,O-FGAPerGame,O-3FGMPerGame,O-3FGAPerGame,O-FTMPerGame,O-FTAPerGame,O-OREBPerGame,O-DREBPerGame,O-PFPerGame,O-AssistsPerGame,O-TOPerGame,O-BlocksPerGame,O-StealsPerGame,O-PointsPerGame,AssistsTORatio,PossessionsPerGame,O-PossessionsPerGame
31,BIG 12,Oklahoma State,2012,0,91,78.57,0.5271,33,746,1756,211,633,506,685,265,783,629,376,395,141,214,2209,799,1872,183,581,464,673,401,839,600,396,420,103,211,2247,22.60606061,53.21212121,6.393939394,19.18181818,15.33333333,20.75757576,8.03030303,23.72727273,19.06060606,11.39393939,11.96969697,4.272727273,6.484848485,66.93939394,24.21212121,56.72727273,5.545454545,17.60606061,14.06060606,20.39393939,12.15151515,25.42424242,18.18181818,12,12.72727273,3.121212121,6.393939394,68.09090909,0.951898734,64.33090909,64.31054545
32,BIG 12,Texas,2012,1,31,84.52,0.5771,34,836,1927,197,601,601,820,453,775,659,419,426,125,231,2470,774,1862,199,572,523,772,409,725,712,379,460,115,197,2270,24.58823529,56.67647059,5.794117647,17.67647059,17.67647059,24.11764706,13.32352941,22.79411765,19.38235294,12.32352941,12.52941176,3.676470588,6.794117647,72.64705882,22.76470588,54.76470588,5.852941176,16.82352941,15.38235294,22.70588235,12.02941176,21.32352941,20.94117647,11.14705882,13.52941176,3.382352941,5.794117647,66.76470588,0.983568075,64.64470588,64.368
33,BIG 12,Texas A&M,2012,0,118,76.76,0.4986,32,732,1695,162,491,330,502,332,755,574,375,430,71,182,1956,672,1641,172,547,452,635,298,735,536,380,389,107,206,1968,22.875,52.96875,5.0625,15.34375,10.3125,15.6875,10.375,23.59375,17.9375,11.71875,13.4375,2.21875,5.6875,61.125,21,51.28125,5.375,17.09375,14.125,19.84375,9.3125,22.96875,16.75,11.875,12.15625,3.34375,6.4375,61.5,0.872093023,60.9435,61.00875
34,BIG 12,Texas Tech,2012,0,222,69.14,0.4568,30,623,1422,138,381,400,571,231,675,640,334,512,91,157,1784,658,1568,178,529,544,760,341,643,563,345,381,96,235,2038,20.76666667,47.4,4.6,12.7,13.33333333,19.03333333,7.7,22.5,21.33333333,11.13333333,17.06666667,3.033333333,5.233333333,59.46666667,21.93333333,52.26666667,5.933333333,17.63333333,18.13333333,25.33333333,11.36666667,21.43333333,18.76666667,11.5,12.7,3.2,7.833333333,67.93333333,0.65234375,63.1752,63.008
35,BIG EAST,Cincinnati,2012,1,26,84.96,0.5803,37,924,2194,260,763,414,643,489,844,570,479,403,170,298,2522,849,2063,207,641,371,542,443,881,573,465,518,120,200,2276,24.97297297,59.2972973,7.027027027,20.62162162,11.18918919,17.37837838,13.21621622,22.81081081,15.40540541,12.94594595,10.89189189,4.594594595,8.054054054,68.16216216,22.94594595,55.75675676,5.594594595,17.32432432,10.02702703,14.64864865,11.97297297,23.81081081,15.48648649,12.56756757,14,3.243243243,5.405405405,61.51351351,1.188585608,62.61859459,62.15221622
36,BIG EAST,Connecticut,2012,1,39,83.04,0.5937,34,858,1900,185,557,435,657,416,858,492,457,418,233,199,2336,785,2034,245,713,378,514,457,728,584,408,372,90,220,2193,25.23529412,55.88235294,5.441176471,16.38235294,12.79411765,19.32352941,12.23529412,25.23529412,14.47058824,13.44117647,12.29411765,6.852941176,5.852941176,68.70588235,23.08823529,59.82352941,7.205882353,20.97058824,11.11764706,15.11764706,13.44117647,21.41176471,17.17647059,12,10.94117647,2.647058824,6.470588235,64.5,1.093301435,62.51505882,61.92423529
37,BIG EAST,DePaul,2012,0,155,73.96,0.4801,31,857,1956,224,669,360,517,374,651,637,474,414,126,245,2298,868,1802,155,438,487,736,412,817,509,426,485,127,232,2378,27.64516129,63.09677419,7.225806452,21.58064516,11.61290323,16.67741935,12.06451613,21,20.5483871,15.29032258,13.35483871,4.064516129,7.903225806,74.12903226,28,58.12903226,5,14.12903226,15.70967742,23.74193548,13.29032258,26.35483871,16.41935484,13.74193548,15.64516129,4.096774194,7.483870968,76.70967742,1.144927536,69.41651613,68.89083871
38,BIG EAST,Georgetown,2012,1,14,88.04,0.6201,32,790,1692,178,511,457,656,359,801,555,438,405,152,195,2215,663,1712,157,572,410,600,343,633,599,370,414,86,213,1893,24.6875,52.875,5.5625,15.96875,14.28125,20.5,11.21875,25.03125,17.34375,13.6875,12.65625,4.75,6.09375,69.21875,20.71875,53.5,4.90625,17.875,12.8125,18.75,10.71875,19.78125,18.71875,11.5625,12.9375,2.6875,6.65625,59.15625,1.081481481,61.488,62.04
39,BIG EAST,Louisville,2012,1,11,88.58,0.6205,40,963,2281,233,733,568,826,518,994,706,532,562,193,353,2727,857,2233,218,720,508,766,509,935,745,453,621,144,284,2440,24.075,57.025,5.825,18.325,14.2,20.65,12.95,24.85,17.65,13.3,14.05,4.825,8.825,68.175,21.425,55.825,5.45,18,12.7,19.15,12.725,23.375,18.625,11.325,15.525,3.6,7.1,61,0.946619217,65.2164,65.0124
40,BIG EAST,Marquette,2012,1,12,88.48,0.6333,35,919,2033,201,596,599,831,414,857,620,580,461,122,304,2638,831,2065,216,674,433,632,468,807,700,483,577,150,250,2308,26.25714286,58.08571429,5.742857143,17.02857143,17.11428571,23.74285714,11.82857143,24.48571429,17.71428571,16.57142857,13.17142857,3.485714286,8.685714286,75.37142857,23.74285714,59,6.171428571,19.25714286,12.37142857,18.05714286,13.37142857,23.05714286,20,13.8,16.48571429,4.285714286,7.142857143,65.94285714,1.25813449,67.87817143,67.86377143
